# Fangeul TTS 문구 목록
# 고유 mp3 필요: 90개 | 중복(오디오 재사용): 5개 | 총: 95개
# R2 경로: tts.tigerroom.app/ko/{audio_id}.mp3
# [T] = 템플릿 문구 (그룹명/멤버명 제거 후 TTS)
# (= xxx) = 완전 동일, (~ xxx) = 느낌표만 다름 → 같은 오디오 사용
#
# audio_id | TTS 텍스트 | 원문

## Love & Support
cback_11 | 티저부터 미쳤어요 | 티저부터 미쳤어요
cback_12 | 사전예약 완료! | 사전예약 완료!
cback_13 | 무대가 기대돼요 | 무대가 기대돼요
cback_14 | 올해의 앨범이에요 | 올해의 앨범이에요
cback_15 | 대상 받자! | 대상 받자!

## Daily Expressions
daily_01 | 안녕하세요 | 안녕하세요
daily_02 | 잘 자요 | 잘 자요
daily_03 | 좋은 아침이에요 | 좋은 아침이에요
daily_04 | 밥 먹었어요? | 밥 먹었어요?
daily_05 | 오늘 뭐 했어요? | 오늘 뭐 했어요?
daily_06 | 좋은 하루 보내세요 | 좋은 하루 보내세요
daily_07 | 오늘도 수고했어요 | 오늘도 수고했어요
daily_08 | 맛있게 드세요 | 맛있게 드세요
daily_09 | 기분이 어때요? | 기분이 어때요?
daily_10 | 푹 쉬세요 | 푹 쉬세요
daily_11 | 오늘 날씨가 좋아요 | 오늘 날씨가 좋아요
daily_12 | 오늘 기분 좋아 보여요 | 오늘 기분 좋아 보여요
daily_13 | 재미있었어요 | 재미있었어요
daily_14 | 조심히 다녀오세요 | 조심히 다녀오세요
daily_15 | 기다리고 있을게요 | 기다리고 있을게요
daily_16 | 오늘도 고생했어요 | 오늘도 고생했어요
daily_17 | 행복한 하루 되세요 | 행복한 하루 되세요
daily_18 | 감사합니다 | 감사합니다
daily_19 | 또 만나요 | 또 만나요
daily_20 | 내일 봐요 | 내일 봐요

## My Idol
idol_01 | 사랑해요! | {{group_name}} 사랑해요! [T] (~ love_01)
idol_02 | 화이팅! | {{group_name}} 화이팅! [T]
idol_03 | 컴백 축하해요! | {{group_name}} 컴백 축하해요! [T] (= cback_01)
idol_04 | 생일 축하해요! | {{group_name}} 생일 축하해요! [T] (= bday_01)
idol_05 | 1위 축하해요! | {{group_name}} 1위 축하해요! [T]
idol_06 | 최고! | {{group_name}} 최고! [T]
idol_07 | 덕분에 행복해요 | {{group_name}} 덕분에 행복해요 [T] (= love_25)
idol_08 | 오래오래 함께해요 | {{group_name}} 오래오래 함께해요 [T]
idol_09 | 콘서트 가고 싶어요! | {{group_name}} 콘서트 가고 싶어요! [T]
idol_10 | 노래 또 듣고 있어요 | {{group_name}} 노래 또 듣고 있어요 [T]
idol_11 | 사랑해! | {{member_name}} 사랑해! [T]
idol_12 | 생일 축하해! | {{member_name}} 생일 축하해! [T]
idol_13 | 오늘도 고마워 | {{member_name}} 오늘도 고마워 [T]
idol_14 | 화이팅! | {{member_name}} 화이팅! [T] (= idol_02)
idol_15 | 보고 싶어! | {{member_name}} 보고 싶어! [T]
